Contiguous U.S., Average Temperature,
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Month,Temperature,Anomaly
2010-01,30.67,0.55
2010-02,31.8,-2.02
2010-03,43.57,2.07
2010-04,53.24,2.19
2010-05,59.88,-0.32
2010-06,70.48,1.99
2010-07,74.71,1.1
2010-08,74.05,1.95
2010-09,66.49,1.63
2010-10,56.14,2.03
2010-11,42.31,0.62
2010-12,32.47,-0.21
2011-01,29.71,-0.41
2011-02,33.04,-0.78
2011-03,43.07,1.57
2011-04,51.96,0.91
2011-05,59.13,-1.07
2011-06,69.82,1.33
2011-07,76.14,2.53
2011-08,75,2.9
2011-09,66.09,1.23
2011-10,55.09,0.98
2011-11,43.75,2.06
2011-12,35.4,2.72
2012-01,36.12,6
2012-02,37.51,3.69
2012-03,50.41,8.91
2012-04,54.68,3.63
2012-05,63.45,3.25
2012-06,70.54,2.05
2012-07,76.77,3.16
2012-08,73.8,1.7
2012-09,66.31,1.45
2012-10,53.89,-0.22
2012-11,44.01,2.32
2012-12,35.92,3.24
2013-01,32.25,2.13
2013-02,34.77,0.95
2013-03,40.91,-0.59
2013-04,49.68,-1.37
2013-05,60.85,0.65
2013-06,70.39,1.9
2013-07,74.21,0.6
2013-08,72.99,0.89
2013-09,66.96,2.1
2013-10,53.44,-0.67
2013-11,41.61,-0.08
2013-12,31.06,-1.62
2014-01,30.56,0.44
2014-02,32.13,-1.69
2014-03,40.51,-0.99
2014-04,51.69,0.64
2014-05,61.27,1.07
2014-06,69.58,1.09
2014-07,73.29,-0.32
2014-08,72.25,0.15
2014-09,66.2,1.34
2014-10,56.93,2.82
2014-11,39.25,-2.44
2014-12,36.81,4.13
2015-01,33.08,2.96
2015-02,32.99,-0.83
2015-03,45.39,3.89
2015-04,53.24,2.19
2015-05,60.84,0.64
2015-06,71.37,2.88
2015-07,73.92,0.31
2015-08,72.95,0.85
2015-09,68.54,3.68
2015-10,57.24,3.13
2015-11,44.6,2.91
2015-12,38.66,5.98
2016-01,32.22,2.1
2016-02,39.47,5.65
2016-03,47.5,6
2016-04,53.19,2.14
2016-05,60.33,0.13
2016-06,71.76,3.27
2016-07,75.22,1.61
2016-08,73.53,1.43
2016-09,67.12,2.26
2016-10,57.72,3.61
2016-11,47.97,6.28
2016-12,32.95,0.27
2017-01,33.57,3.45
2017-02,41.18,7.36
2017-03,46.15,4.65
2017-04,53.8,2.75
2017-05,60.57,0.37
2017-06,70.36,1.87
2017-07,75.7,2.09
2017-08,72.01,-0.09
2017-09,66.27,1.41
2017-10,55.69,1.58
2017-11,45.03,3.34
2017-12,34.29,1.61
2018-01,32.16,2.04
2018-02,35.51,1.69
2018-03,42.73,1.23
2018-04,49.03,-2.02
2018-05,65.52,5.32
2018-06,71.55,3.06
2018-07,75.45,1.84
2018-08,73.51,1.41
2018-09,67.53,2.67
2018-10,53.71,-0.4
2018-11,40.01,-1.68
2018-12,35.51,2.83
2019-01,32.56,2.44
2019-02,31.84,-1.98
2019-03,40.28,-1.22
2019-04,52.84,1.79
2019-05,59.49,-0.71
2019-06,68.72,0.23
2019-07,74.62,1.01
2019-08,73.74,1.64
2019-09,68.43,3.57
2019-10,52.05,-2.06
2019-11,41.11,-0.58
2019-12,36.43,3.75
2020-01,35.55,5.43
2020-02,36.18,2.36
2020-03,46.09,4.59
2020-04,50.86,-0.19
2020-05,60.91,0.71
2020-06,70.29,1.8
2020-07,75.65,2.04
2020-08,74.7,2.6
2020-09,65.89,1.03
2020-10,54.28,0.17
2020-11,46.31,4.62
2020-12,35.71,3.03
2021-01,34.57,4.45
2021-02,30.6,-3.22
2021-03,45.54,4.04
2021-04,51.87,0.82
2021-05,60.37,0.17
2021-06,72.61,4.12
2021-07,75.42,1.81
2021-08,73.98,1.88
2021-09,67.82,2.96
2021-10,56.97,2.86
