@relation Weather_data_usa_main

@attribute Month {2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10}
@attribute Temperature numeric

@data
2010-01,30.67
2010-02,31.8
2010-03,43.57
2010-04,53.24
2010-05,59.88
2010-06,70.48
2010-07,74.71
2010-08,74.05
2010-09,66.49
2010-10,56.14
2010-11,42.31
2010-12,32.47
2011-01,29.71
2011-02,33.04
2011-03,43.07
2011-04,51.96
2011-05,59.13
2011-06,69.82
2011-07,76.14
2011-08,75
2011-09,66.09
2011-10,55.09
2011-11,43.75
2011-12,35.4
2012-01,36.12
2012-02,37.51
2012-03,50.41
2012-04,54.68
2012-05,63.45
2012-06,70.54
2012-07,76.77
2012-08,73.8
2012-09,66.31
2012-10,53.89
2012-11,44.01
2012-12,35.92
2013-01,32.25
2013-02,34.77
2013-03,40.91
2013-04,49.68
2013-05,60.85
2013-06,70.39
2013-07,74.21
2013-08,72.99
2013-09,66.96
2013-10,53.44
2013-11,41.61
2013-12,31.06
2014-01,30.56
2014-02,32.13
2014-03,40.51
2014-04,51.69
2014-05,61.27
2014-06,69.58
2014-07,73.29
2014-08,72.25
2014-09,66.2
2014-10,56.93
2014-11,39.25
2014-12,36.81
2015-01,33.08
2015-02,32.99
2015-03,45.39
2015-04,53.24
2015-05,60.84
2015-06,71.37
2015-07,73.92
2015-08,72.95
2015-09,68.54
2015-10,57.24
2015-11,44.6
2015-12,38.66
2016-01,32.22
2016-02,39.47
2016-03,47.5
2016-04,53.19
2016-05,60.33
2016-06,71.76
2016-07,75.22
2016-08,73.53
2016-09,67.12
2016-10,57.72
2016-11,47.97
2016-12,32.95
2017-01,33.57
2017-02,41.18
2017-03,46.15
2017-04,53.8
2017-05,60.57
2017-06,70.36
2017-07,75.7
2017-08,72.01
2017-09,66.27
2017-10,55.69
2017-11,45.03
2017-12,34.29
2018-01,32.16
2018-02,35.51
2018-03,42.73
2018-04,49.03
2018-05,65.52
2018-06,71.55
2018-07,75.45
2018-08,73.51
2018-09,67.53
2018-10,53.71
2018-11,40.01
2018-12,35.51
2019-01,32.56
2019-02,31.84
2019-03,40.28
2019-04,52.84
2019-05,59.49
2019-06,68.72
2019-07,74.62
2019-08,73.74
2019-09,68.43
2019-10,52.05
2019-11,41.11
2019-12,36.43
2020-01,35.55
2020-02,36.18
2020-03,46.09
2020-04,50.86
2020-05,60.91
2020-06,70.29
2020-07,75.65
2020-08,74.7
2020-09,65.89
2020-10,54.28
2020-11,46.31
2020-12,35.71
2021-01,34.57
2021-02,30.6
2021-03,45.54
2021-04,51.87
2021-05,60.37
2021-06,72.61
2021-07,75.42
2021-08,73.98
2021-09,67.82
2021-10,56.97
